timestamp;user_profile_raw;is_augmented;domain_pref;tech_skills;level_code;level_math;recommended_job;match_score
2026-01-10 23:11:32;"Je rêve de travailler dans l'Intelligence Artificielle et de créer des robots comme ChatGPT. C'est ma passion absolue.""";False;Peu importe;Excel;1;Débutant;Développeur Python Data Confirmé;0.391
2026-01-12 08:25:27;J'adore coder des modèle en machine learning avec Python, et j'aime aussi le développement web pour créer sites web;False;Développement & Code;C++, Databricks, PyTorch;4;Expert;Développeur Python Data Confirmé;0.7055
2026-01-12 08:46:55;J'adore coder des modèle en machine learning avec Python, et j'aime aussi le développement web pour créer sites web;False;Développement & Code;C++, Databricks, PyTorch;4;Expert;Développeur Python Data Junior;0.4841
2026-01-12 10:43:43;Je rêve de travailler dans l'Intelligence Artificielle et de créer des robots comme ChatGPT. C'est ma passion absolue.;False;Peu importe;Excel;1;Débutant;Data Analyst Junior;0.3683
2026-01-12 11:34:12;fr;J'aime le code et les mathématiques, et le dev web;False;Analyse & Business;Java, C++, Bash/Shell;2;Intermédiaire;Data Analyst Junior;0.4627
2026-01-12 14:28:27;fr;J'adore les statistiques et les probabilités. Mon but est de créer des modèles prédictifs complexes pour anticiper des comportements futurs. Je code tous les jours en Python;False;Mathématiques & Recherche;Python, Sql, Git;Multi-Tasking;Lecturer in Mathematics and Statistics;0.4726
2026-01-12 14:35:53;fr;J'adore les statistiques et les probabilités. Mon but est de créer des modèles prédictifs complexes pour anticiper des comportements futurs. Je code tous les jours en Python;False;Mathématiques & Recherche;;Lecturer in Mathematics and Statistics;0.4573
2026-01-12 14:36:14;fr;J'adore les statistiques et les probabilités. Mon but est de créer des modèles prédictifs complexes pour anticiper des comportements futurs. Je code tous les jours en Python;False;Mathématiques & Recherche;Python, Sql, Aws;Lecturer in Mathematics and Statistics;0.4797
2026-01-12 14:44:35;fr;J'adore les statistiques et les probabilités. Mon but est de créer des modèles prédictifs complexes pour anticiper des comportements futurs. Je code tous les jours en Python;False;Infrastructure & Cloud;Mongodb, NLP (Traitement du langage), Networking;Infrastructure Developer- SRE;0.506
2026-01-12 15:16:17;fr;J'adore les statistiques et les probabilités. Mon but est de créer des modèles prédictifs complexes pour anticiper des comportements futurs. Je code tous les jours en Python;False;Mathématiques & Recherche;Android Sdk, Angular, Animation Software, Ansible, Artifactory;Computer Research Scientist;0.4263
2026-01-12 15:23:01;fr;J'adore les statistiques et les probabilités. Mon but est de créer des modèles prédictifs complexes pour anticiper des comportements futurs. Je code tous les jours en Python;False;Infrastructure & Cloud;Android Sdk, Angular, Animation Software, Ansible, Artifactory, Algorithms;MAINFRAME DEVELOPER;0.5084
2026-01-12 15:28:07;fr;J'adore les statistiques et les probabilités. Mon but est de créer des modèles prédictifs complexes pour anticiper des comportements futurs. Je code tous les jours en Python;False;Infrastructure & Cloud;Android Sdk, Angular, Animation Software, Ansible, Artifactory, Algorithms;MAINFRAME DEVELOPER;0.5084
2026-01-12 15:28:13;fr;J'adore les statistiques et les probabilités. Mon but est de créer des modèles prédictifs complexes pour anticiper des comportements futurs. Je code tous les jours en Python;False;Infrastructure & Cloud;Android Sdk, Angular, Animation Software, Ansible, Artifactory, Algorithms;MAINFRAME DEVELOPER;0.5084
2026-01-12 15:28:36;fr;J'adore les statistiques et les probabilités. Mon but est de créer des modèles prédictifs complexes pour anticiper des comportements futurs. Je code tous les jours en Python;False;Infrastructure & Cloud;Alerting, Algorithms, Android Sdk;MAINFRAME DEVELOPER;0.4983
2026-01-12 15:28:52;fr;J'adore les statistiques et les probabilités. Mon but est de créer des modèles prédictifs complexes pour anticiper des comportements futurs. Je code tous les jours en Python;False;Infrastructure & Cloud;Alerting, Algorithms, Android Sdk;MAINFRAME DEVELOPER;0.4983
2026-01-12 15:28:57;fr;;True;Peu importe;;Computer Research Scientist;0.2404
2026-01-12 15:29:51;fr;;True;Peu importe;;Computer Research Scientist;0.2404
2026-01-12 15:34:54;fr;;True;Peu importe;;Computer Research Scientist;0.2404
2026-01-12 15:35:01;fr;;True;Peu importe;;Computer Research Scientist;0.2404
2026-01-12 15:40:14;fr;J'adore les statistiques et les probabilités. Mon but est de créer des modèles prédictifs complexes pour anticiper des comportements futurs. Je code tous les jours en Python;False;Mathématiques & Recherche;Alerting, Algorithms, Méthodes Agiles, Android Sdk, 3D Modeling;Computer Research Scientist;0.429
2026-01-12 15:44:19;fr;J'adore les statistiques et les probabilités. Mon but est de créer des modèles prédictifs complexes pour anticiper des comportements futurs. Je code tous les jours en Python;False;Mathématiques & Recherche;Alerting, Algorithms, Méthodes Agiles, Android Sdk, 3D Modeling;Computer Research Scientist;0.429
2026-01-12 19:46:14.806696,fr,J'adore les statistiques et les probabilités. Mon but est de créer des modèles prédictifs complexes pour anticiper des comportements futurs. Je code tous les jours en Python.,Computer Research Scientist,0.42407671763346744
2026-01-12 20:14:10.517638,fr,J'adore les statistiques et les probabilités. Mon but est de créer des modèles prédictifs complexes pour anticiper des comportements futurs. Je code tous les jours en Python.,Robotics Engineer,0.49938110800889823
2026-01-12 21:23:50.859667,fr,J'adore les statistiques et les probabilités. Mon but est de créer des modèles prédictifs complexes pour anticiper des comportements futurs. Je code tous les jours en Python.,Computer Research Scientist,0.4357677766909966
2026-01-13 09:41:22.922530,fr,J'adore les statistiques et les probabilités. Mon but est de créer des modèles prédictifs complexes pour anticiper des comportements futurs. Je code tous les jours en Python.,DATA SCIENTIST,0.5374912197773273
2026-01-13 10:02:29.294540,fr,J'adore les statistiques et les probabilités. Mon but est de créer des modèles prédictifs complexes pour anticiper des comportements futurs. Je code tous les jours en Python.,Lead Data Scientist,0.92
2026-01-13 10:04:27.526988,fr,J'adore les statistiques et les probabilités. Mon but est de créer des modèles prédictifs complexes pour anticiper des comportements futurs. Je code tous les jours en Python.,Lead Data Scientist,0.92
2026-01-13 10:08:55.187604,fr,J'adore les statistiques et les probabilités. Mon but est de créer des modèles prédictifs complexes pour anticiper des comportements futurs. Je code tous les jours en Python.,Computer Research Scientist,0.43874674806228053
2026-01-13 10:24:15.595983,fr,J'adore les statistiques et les probabilités. Mon but est de créer des modèles prédictifs complexes pour anticiper des comportements futurs. Je code tous les jours en Python.,Robotics Engineer,0.4477827516885904
2026-01-13 10:37:32.129484,fr,"J'aime tout ce qui est en rapport des systèmes embarqués et électroniques, et l'intelligence artificielle. La kinématique et la mécanique.",Robotics Engineer,0.5063419309946207
2026-01-13 10:41:58.261898,fr,"J'aime tout ce qui est en rapport des systèmes embarqués et électroniques, et l'intelligence artificielle. La kinématique et la mécanique.",Robotics Engineer,0.5063419309946207
